slug,name,borough,neighborhood,address,cuisines,price_tiers,meal_periods,weeks,sunday_participation,menu_url,reservation_link,listing_url,website,menu_parse_quality
strip-house-midtown,Strip House Midtown,Manhattan,Midtown West,"15 W. 44th St., Manhattan, NY, 10036","[""Steakhouse"", ""American (Traditional)""]","[""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/37491-StripHouseMidtown-menu.pdf,https://www.opentable.com/restref/client/?rid=97504,https://www.nyctourism.com/restaurant-week/strip-house-midtown/,https://www.striphouse.com/location/striphouse-midtown,partial
sungold,Sungold,Brooklyn,Williamsburg,"Arlo Williamsburg, 96 Wythe Ave., Brooklyn, NY, 11249","[""American (New)"", ""Italian""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=987481,https://www.nyctourism.com/restaurant-week/sungold/,https://www.sungoldbk.com,
suprema-provisions,Suprema Provisions,Manhattan,West Village,"305 Bleecker St., Manhattan, NY, 10014","[""Italian""]","[""$30"", ""$45""]","[""brunch"", ""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/46205-SupremaProvisions-menu.pdf,,https://www.nyctourism.com/restaurant-week/suprema-provisions/,https://www.supremanyc.com,partial
sushi-ann,Sushi Ann,Manhattan,Midtown East,"38 E. 51st St., Manhattan, NY, 10022","[""Japanese / Sushi""]","[""$45"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49308-SushiAnn-menu.pdf,,https://www.nyctourism.com/restaurant-week/sushi-ann/,https://www.sushiann.net,partial
sushi-lab-rooftop-nyc,Sushi Lab Rooftop,Manhattan,Times Square/Theatre District,"Sanctuary Hotel New York, 130 W. 47th St., Manhattan, NY, 10036","[""Japanese / Sushi""]","[""$30"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/42593-SushiLabRooftopNYC-menu.pdf,,https://www.nyctourism.com/restaurant-week/sushi-lab-rooftop-nyc/,https://www.sushilab.com/sushi-lab,failed
sushi-sen-nin,Sushi Sen-Nin,Manhattan,Murray Hill,"30 E. 33rd St., Manhattan, NY, 10016","[""Japanese / Sushi""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/17730-SushiSen-Nin-menu.pdf,,https://www.nyctourism.com/restaurant-week/sushi-sen-nin/,https://www.sushisennin.com,full
sushi-of-gari-46,Sushi of Gari 46,Manhattan,Times Square/Theatre District,"347 W. 46th St., Manhattan, NY, 10036","[""Japanese / Sushi""]","[""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49732-SushiofGari46-menu.pdf,https://www.opentable.com/restref/client/?rid=17965,https://www.nyctourism.com/restaurant-week/sushi-of-gari-46/,https://www.sushiofgari.com,partial
sweet-catch,Sweet Catch,Brooklyn,Prospect Lefferts Gardens,"1222 Nostrand Ave., Brooklyn, NY, 11225","[""Seafood""]","[""$60""]","[""brunch"", ""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/47861-SweetCatch-menu.pdf,,https://www.nyctourism.com/restaurant-week/sweet-catch/,https://www.sweetcatchbk.com,partial
sylvias,Sylvia's,Manhattan,Harlem,"328 Malcolm X Blvd., Manhattan, NY, 10027","[""Soul Food / Southern""]","[""$30"", ""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",0,,,https://www.nyctourism.com/restaurant-week/sylvias/,https://sylviasrestaurant.com,
t-bar,T Bar,Manhattan,Upper East Side,"116 E. 60th St., Manhattan, NY, 10022","[""American (New)"", ""Steakhouse"", ""American (Traditional)""]","[""$30"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/9451-TBar-menu.pdf,,https://www.nyctourism.com/restaurant-week/t-bar/,https://tbar.nyc,partial
